Name,Position,School,Division,Type,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Games Started (GS),Innings Pitched (IP),Wins (W),Losses (L),Earned Runs (ER),Hits Allowed (H),Walks Allowed (BB),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Jack Neil,RHP,Allen County,JUCO: Division 1,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1.0,0,1,0,2,0,0.0,0,2
Jack Rea,INF,Colorado Northwestern,JUCO: Division 1,A,6,7,3,2,0,0,0,1,0,0.286,0.444,0.286,0.73,0,0,0.0,0,0,0,0,0,0.0,0,0
Jack Taylor,INF,Rend Lake,JUCO: Division 1,A,3,3,1,0,0,0,0,0,1,0.0,0.4,0.0,0.4,0,0,0.0,0,0,0,0,0,0.0,0,0
Jackson Fraser,RHP,LSU Eunice,JUCO: Division 2,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,3.2,0,1,2,4,5,4.91,0,5
Jacob Corby,RHP,Three Rivers,JUCO: Division 1,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2.0,0,0,0,0,1,0.0,0,1
Jacob Mahoney,"IF,C",Lake Michigan,JUCO: Division 2,A,5,16,3,3,0,0,0,2,0,0.188,0.278,0.188,0.466,0,0,0.0,0,0,0,0,0,0.0,0,0
Jake Bucovetsky,1B,Highland (KS),JUCO: Division 1,A,10,29,10,13,6,0,1,4,1,0.448,0.556,0.759,1.315,0,0,0.0,0,0,0,0,0,0.0,0,0
James Dutton,OF,Indian Hills,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Jared Arnold,RHP,Colby,JUCO: Division 1,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1.0,0,0,1,1,0,9.0,0,0
Jaxson Smith-Peterson,RHP,Minnesota West,JUCO: Division 3,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
